question,correct_answer,bad_answer_1,bad_answer_2,bad_answer_3,difficulty
Mit jelent a jogforrási hierarchia?,"Lényege, hogy az egyes jogforrások között alá-fölérendeltségi viszony áll fenn, a magasabb szinten elhelyezkedő szabállyal az alacsonyabb szinten elhelyezkedő szabály nem lehet ellentétes, azt nem módosíthatja vagy helyezheti hatályon kívül.","Azt jelenti, hogy minden jogszabály, amit a Magyar Közlönyben kihirdetnek.","Azt jelenti, hogy az országgyűlés törvényeket és rendeleteket hoz.","A jogszabályok alkalmazhatóságát, végrehajthatóságát jelenti.",
"Válassza ki, hogy melyik NEM a jogi személy jellemzője:",jogi személyiséggel nem bír,"törvényben meghatározott típusban, törvény által nem tiltott tevékenység folytatására és cél elérése érdekében alapítható és működtethető","saját névvel, székhellyel, tagja(i)tól, alapítójától elkülönített vagyonnal, az ügyvezetését és képviseletét ellátó szervezettel bír",kötelezettségeiért saját vagyonával áll hely,
"Az alábbi kifejezések mely gyűjtőfogalom alá esnek? Alapszabály, alapító okirat, társasági szerződés?",létesítő okirat,tulajdonosi ellenőrzés,döntéshozó szerv,képviselet,
"Az alábbi kifejezések mely gyűjtőfogalom alá esnek? Tagok gyűlése, taggyűlés, közgyűlés?",döntéshozó szerv,képviselet,létesítő okirat,tulajdonosi ellenőrzés,
Milyen feladatot lát el az ügyvezetés?,"A jogi személy irányításával kapcsolatos döntések meghozatala, amelyek nem tartoznak a tag(ok), alapító hatáskörébe",A társaság leányvállalatának felügyelőbizottsági feladatait látja el,Az állandó könyvvizsgálat ellátása mint külső ellenőrzés.,A törvényességi felügyelet ellátása.,
Melyik jellemző igaz a felügyelőbizottságra?,Tagjai nem utasíthatóak,A felügyelőbizottság tagjait az ügyvezető utasíthatja,A felügyelőbizottság egyszemélyes kft. esetén egy tagból is állhat.,"A felügyelőbizottság ugyan megvizsgálja a döntéshozó szerv elé kerülő előterjesztéseket, de a társaság irataiba magától nem tekinthet be, csak akkor, ha valamilyen csalárd magatartásról szerez tudomást",
Mi a beolvadásos kiválás?,A kiváló tag a jogi személy vagyonának egy részével már működő jogi személyhez mint jogutódhoz csatlakozik.,"Az összeolvadó jogi személyek megszűnnek, és új jogi személy jön létre","A jogi személy fennmarad, és vagyonának egy része a kiválással létrejövő jogi személyre mint jogutódra száll át","A beolvadó jogi személy szűnik meg, általános jogutódja az egyesülésben részt vevő másik jogi személy",
"Létrehozható-e egy gazdasági társaság egy meghatározott projekt befejezésére, azaz akként, hogy az a projekt befejezésével jogutód nélkül megszűnik?","Igen, gazdasági társaság jogutód nélkül megszűnhet meghatározott feltétel bekövetkezéséhez kötötten.","Nem, mivel nem létezik olyan, hogy meghatározott feltétel bekövetkeztével szűnjön meg jogutód nélkül a gazdasági társaság","Igen, abban az esetben, ha egyidejűleg elhatározza az átalakulását.","Nem, mert gazdasági társaságot csak legalább 6 évre lehet alapítani.",
Mikor lehetséges egyszerűsített végelszámolási eljárást választani jogutód nélküli megszűnéshez?,"Az egyszerűsített végelszámolás alanya lehet a számviteli törvény (Szt.) 155. § szerinti könyvvizsgálatra nem kötelezett cég és a másik feltétele, hogy az egyszerűsített végelszámolást 150 napon belül be kell fejezni.","Semmikor, egyszerűsített csődeljárás létezik csak","Zrt. választhatja, ha az átlagos éves munkavállalói létszám a 200 főt meghaladja",Ha felszámolásba fordult a társaság és van kielégítetlen hitelezői igény.,
Melyik NEM gazdasági társaság az alábbiak közül?,egyesülés,nyilvánosan működő részvénytársaság,közkereseti társaság,betéti társaság,
